,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,total_words,unique_words,duration_min,key_0,key_1,key_2,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_minor,mode_major,time_signature_3,time_signature_4,time_signature_5,class
90,0.484,0.938,-3.123,0.112,0.0706,0.0,0.236,0.444,165.049,376,159,3.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
91,0.492,0.932,-2.401,0.203,0.00711,0.0,0.177,0.635,151.166,298,114,3.27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
92,0.393,0.858,-2.868,0.0729,0.00359,0.0,0.102,0.56,176.042,328,130,3.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
93,0.615,0.763,-4.189,0.0322,0.000246,0.141,0.298,0.333,115.991,350,162,4.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
94,0.623,0.962,-2.616,0.0895,0.103,0.000174,0.264,0.676,149.963,332,99,3.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
95,0.548,0.889,-4.52,0.128,0.00784,0.00866,0.341,0.365,156.041,363,115,2.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
96,0.536,0.974,-2.833,0.0969,0.0065,0.00102,0.357,0.481,135.997,359,134,3.78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
97,0.481,0.974,-3.388,0.136,0.139,0.00998,0.406,0.516,79.964,540,144,3.74,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
98,0.66,0.944,-3.692,0.0522,0.00607,0.27,0.823,0.684,127.02,321,94,3.39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
99,0.616,0.868,-3.606,0.0699,0.00131,1.54e-06,0.671,0.475,108.016,229,97,3.16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
100,0.451,0.939,-2.546,0.116,0.00219,0.00223,0.366,0.192,80.098,321,113,3.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
101,0.461,0.869,-4.672,0.0731,0.000616,8.19e-06,0.25,0.649,145.919,339,109,2.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
102,0.579,0.872,-5.294,0.0443,0.00594,0.0,0.192,0.557,115.043,525,139,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
103,0.582,0.925,-4.366,0.0523,0.00699,2.9e-06,0.108,0.788,95.987,396,115,3.51,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
104,0.492,0.805,-4.372,0.0603,0.0241,0.0,0.107,0.66,152.035,480,136,3.62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
105,0.37,0.901,-3.393,0.05,0.0014,0.0,0.25,0.401,167.995,302,97,3.53,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,post-hiatus
106,0.398,0.586,-4.975,0.0344,0.0166,0.0,0.334,0.214,176.043,317,102,3.76,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,post-hiatus
107,0.31,0.905,-4.109,0.253,0.000927,3.1e-05,0.431,0.309,187.796,405,94,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
108,0.585,0.731,-5.186,0.0376,0.00163,0.0,0.0462,0.804,133.981,405,182,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,post-hiatus
